policy_item_content_id,policy_item_group_id,content_label,content_statement,content_summary,content_type,content_status,display_order,notes
PIC-SEED-TD-002-01-01,PIG-SEED-TD-002-01,초전도체,"ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발","ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-012-RV-00001
PIC-SEED-TD-003-02-01,PIG-SEED-TD-003-02,3대위기업종(석유화학·철강·이차전지) 특단대책강구,"- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원","- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00012
PIC-SEED-TD-004-03-01,PIG-SEED-TD-004-03,국방AI 첨단기술활용,"ㅇ (국방AI 첨단기술활용) AI 신속개발·활용을 위해국방데이터관리·보안 체계를개선하고, 맞춤형획득프로세스를마련하며, 인프라투자확대","ㅇ (국방AI 첨단기술활용) AI 신속개발·활용을 위해국방데이터관리·보안 체계를개선하고, 맞춤형획득프로세스를마련하며, 인프라투자확대",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00157
PIC-SEED-TD-005-04-01,PIG-SEED-TD-005-04,수소환원제철(철강),"- 수소환원제철(철강), 스페셜티소재(석유화학) 등탄소감축·고부가가치화추진","- 수소환원제철(철강), 스페셜티소재(석유화학) 등탄소감축·고부가가치화추진",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00386
PIC-SEED-TD-006-05-01,PIG-SEED-TD-006-05,디지털보안·안전확보,"ㅇ (디지털보안·안전확보) AI로지능화된사이버위협에효과적대응을 위해정보보호제도개편, AI기반보안시스템구축등추진","ㅇ (디지털보안·안전확보) AI로지능화된사이버위협에효과적대응을 위해정보보호제도개편, AI기반보안시스템구축등추진",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00259
PIC-SEED-TD-007-06-01,PIG-SEED-TD-007-06,초지능네트워크구축,ㅇ (초지능네트워크구축) AI에최적화된6세대이동통신(6G) 상용화와 실시간･,ㅇ (초지능네트워크구축) AI에최적화된6세대이동통신(6G) 상용화와 실시간･,policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00614
PIC-SEED-TD-008-07-01,PIG-SEED-TD-008-07,고부가가치서비스업육성,ㅇ (고부가가치서비스업육성) AI를활용한교통·물류·안전등핵심서비스 생산성제고및新서비스발굴과함께제조업등과의산업간융합지원,ㅇ (고부가가치서비스업육성) AI를활용한교통·물류·안전등핵심서비스 생산성제고및新서비스발굴과함께제조업등과의산업간융합지원,policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00106
PIC-SEED-TD-010-08-01,PIG-SEED-TD-010-08,양자컴 활용,"□ (양자컴 활용) 양자컴퓨터-슈퍼컴퓨터 하이브리드 시스템을 구축(KISTI, ’25~’28)하고, 이를 활용해 신약 개발, 바이오 분야 등의 난제 해결 지원","□ (양자컴 활용) 양자컴퓨터-슈퍼컴퓨터 하이브리드 시스템을 구축(KISTI, ’25~’28)하고, 이를 활용해 신약 개발, 바이오 분야 등의 난제 해결 지원",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-002-01155
PIC-SEED-TD-012-09-01,PIG-SEED-TD-012-09,첨단기술산업기반구축,"ㅇ (첨단기술산업기반구축) AI, 항공엔진, 반도체, 우주, 드론·로봇등첨단 전략분야R&D 및인프라투자를확대하여한국형빅테크기업육성","ㅇ (첨단기술산업기반구축) AI, 항공엔진, 반도체, 우주, 드론·로봇등첨단 전략분야R&D 및인프라투자를확대하여한국형빅테크기업육성",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00599
PIC-SEED-TD-013-10-01,PIG-SEED-TD-013-10,산업경쟁력강화,"ㅇ (산업경쟁력강화) 차세대태양전지조기상용화, 해상풍력터빈·부품·기자재기술개발, 설치선건조및전용항만설치","ㅇ (산업경쟁력강화) 차세대태양전지조기상용화, 해상풍력터빈·부품·기자재기술개발, 설치선건조및전용항만설치",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00351
PIC-SEED-TD-014-11-01,PIG-SEED-TD-014-11,자율주행실현,"- (자율주행실현) 레벨4 자율차출시및대중교통등공공서비스활용, 자율주행AI 학습센터등인프라구축, E2E 차세대모델기술개발","- (자율주행실현) 레벨4 자율차출시및대중교통등공공서비스활용, 자율주행AI 학습센터등인프라구축, E2E 차세대모델기술개발",policy_action,auto_seed_curated,1,seed draft from PIC-PROV-ITM-POL-001-00503
