merge_candidate_id,candidate_role_draft,item_label_draft,item_statement_draft,primary_text,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes
PMD-DOC-POL-010-0001,policy_action,과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계,"ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진","ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진",reviewed,attach_as_background,,,,,,,,,,starter attach reform overview
PMD-DOC-POL-010-0002,background_context,AI로 촉발된 R&D 패러다임 전환,"ㅇ AI로 촉발된 R&D 패러다임 전환, 첨단기술 확보경쟁 등 급변하는 대외환경 속, 출연(연)은 국가R&D 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할 요구","ㅇ AI로 촉발된 R&D 패러다임 전환, 첨단기술 확보경쟁 등 급변하는 대외환경 속, 출연(연)은 국가R&D 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할 요구",reviewed,attach_as_background,,,,,,,,,,starter attach external environment context
PMD-DOC-POL-010-0003,background_context,임무수행,"ㅇ (임무수행) PBS(Project-Based System)*가 소액·다수 수탁과제와 맞물리며 고유임무·역할 상실, 집단·협력연구 저하, 연구몰입 저해 등 부작용 심화","ㅇ (임무수행) PBS(Project-Based System)*가 소액·다수 수탁과제와 맞물리며 고유임무·역할 상실, 집단·협력연구 저하, 연구몰입 저해 등 부작용 심화",reviewed,attach_as_background,,,,,,,,,,starter attach PBS problem context
PMD-DOC-POL-010-0004,problem_or_requirement,연구환경,"ㅇ (연구환경) 연구지원인력 규모 미흡* 및 기관별 역량 상이, 연구회 기능 미비 등으로 연구자의 행정부담 가중","ㅇ (연구환경) 연구지원인력 규모 미흡* 및 기관별 역량 상이, 연구회 기능 미비 등으로 연구자의 행정부담 가중",reviewed,attach_as_background,,,,,,,,,,starter attach research environment problem context
PMD-DOC-POL-010-0005,policy_action,출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*,"- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행","- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행",reviewed,attach_as_background,,,,,,,,,,starter attach mission summary
PMD-DOC-POL-010-0006,policy_action,기관출연금으로 인건비 전액 지원(PBS 단계적 폐지),"- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화","- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화",reviewed,attach_as_background,,,,,,,,,,starter attach PBS reform summary
PMD-DOC-POL-010-0007,policy_action,처우개선,"- 처우개선, 특별채용 확대 등 우수인재 유치·확보 지속 추진","- 처우개선, 특별채용 확대 등 우수인재 유치·확보 지속 추진",reviewed,attach_as_background,,,,,,,,,,starter attach treatment summary
PMD-DOC-POL-010-0008,meta_program_frame,전략3,ㅇ (전략3) 연구몰입을 지원하는 연구환경 조성,ㅇ (전략3) 연구몰입을 지원하는 연구환경 조성,reviewed,drop,,,,,,,,,,starter drop section header
PMD-DOC-POL-010-0009,policy_action,연구행정 전문화,"- 연구행정 전문화, 전산인프라 통합 운영 추진","- 연구행정 전문화, 전산인프라 통합 운영 추진",reviewed,attach_as_background,,,,,,,,,,starter attach research admin summary
PMD-DOC-POL-010-0010,policy_action,과기출연기관법 전부개정,"- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화","- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화",reviewed,attach_as_background,,,,,,,,,,starter attach legal reform summary
PMD-DOC-POL-010-0011,policy_action,중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출,ㅇ 중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출,ㅇ 중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출,reviewed,attach_as_background,,,,,,,,,,starter attach outcome goal
PMD-DOC-POL-010-0012,policy_action,대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보,ㅇ 대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보,ㅇ 대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보,reviewed,attach_as_background,,,,,,,,,,starter attach talent outcome goal
PMD-DOC-POL-010-0045,policy_action,인건비 전액 지원,"ㅇ (인건비 전액 지원) 매년 종료되는 정부수탁과제(연 4천억원, 총 2조원)을 기관출연금으로 전환, 기관출연금과 계속과제로 인건비 전액 지원 ’26년~","ㅇ (인건비 전액 지원) 매년 종료되는 정부수탁과제(연 4천억원, 총 2조원)을 기관출연금으로 전환, 기관출연금과 계속과제로 인건비 전액 지원 ’26년~",reviewed,keep,,infrastructure_institutional,,,,,,기관출연금 전환을 통한 인건비 전액 지원,매년 종료되는 정부수탁과제를 기관출연금으로 전환해 기관출연금과 계속과제로 인건비를 전액 지원한다.,starter keep core financing reform
PMD-DOC-POL-010-0048,policy_action,기관출연금 체계화,ㅇ (기관출연금 체계화) 기관출연금을 기관 자체 수요에 따른 ’기본연구사업‘과 정부·기업수요 기반으로 운영하는 ’전략연구사업‘으로 유형화 ’26년~,ㅇ (기관출연금 체계화) 기관출연금을 기관 자체 수요에 따른 ’기본연구사업‘과 정부·기업수요 기반으로 운영하는 ’전략연구사업‘으로 유형화 ’26년~,reviewed,keep,,infrastructure_institutional,,,,,,기관출연금 기본·전략연구사업 체계화,기관출연금을 기본연구사업과 전략연구사업으로 유형화해 운영한다.,starter keep funding structure reform
PMD-DOC-POL-010-0050,policy_action,산-연-정 협의체 신설,"ㅇ (산-연-정 협의체 신설) 출연(연), 산업계, 관계부처가 모여 전략연구사업 주요사항을 심의·의결하는 ‘전략연구사업 운영위원회’ 신설 ’26년~","ㅇ (산-연-정 협의체 신설) 출연(연), 산업계, 관계부처가 모여 전략연구사업 주요사항을 심의·의결하는 ‘전략연구사업 운영위원회’ 신설 ’26년~",reviewed,keep,,infrastructure_institutional,,,,,,산·연·정 전략연구사업 운영위원회 신설,"출연연, 산업계, 관계부처가 참여하는 전략연구사업 운영위원회를 신설한다.",starter keep governance action
PMD-DOC-POL-010-0051,policy_action,전략연구 지원기구 신설,ㅇ (전략연구 지원기구 신설) 전략연구사업의 ‘기획조정·보완 → 점검·평가 → 성과확산’을 지원하는 ‘전략연구지원단’을 연구회 내 설치 ’26년~,ㅇ (전략연구 지원기구 신설) 전략연구사업의 ‘기획조정·보완 → 점검·평가 → 성과확산’을 지원하는 ‘전략연구지원단’을 연구회 내 설치 ’26년~,reviewed,keep,,infrastructure_institutional,,,,,,연구회 내 전략연구지원단 설치,"전략연구사업의 기획조정, 점검평가, 성과확산을 지원하는 전략연구지원단을 연구회 내에 설치한다.",starter keep support organization action
PMD-DOC-POL-010-0053,policy_action,수요기반 기획절차 운영,ㅇ (수요기반 기획절차 운영) 수요를 바탕으로 운영위-지원단-출연(연) 간 유기적 연계를 통해 차년도 전략연구사업 예산요구과제 결정 ’26년~,ㅇ (수요기반 기획절차 운영) 수요를 바탕으로 운영위-지원단-출연(연) 간 유기적 연계를 통해 차년도 전략연구사업 예산요구과제 결정 ’26년~,reviewed,keep,,infrastructure_institutional,,,,,,수요기반 전략연구사업 기획절차 운영,"운영위원회, 지원단, 출연연을 연계한 수요기반 기획절차로 차년도 전략연구사업 예산요구 과제를 결정한다.",starter keep planning procedure action
PMD-DOC-POL-010-0056,policy_action,평가결과 환류강화,"ㅇ (평가결과 환류강화) 내실있는 평가를 위해 통합평가 성과급 및 우수연구자 상여금 연계, 경상경비 증가율* 및 업무추진비 등 차등 적용 ’26년~","ㅇ (평가결과 환류강화) 내실있는 평가를 위해 통합평가 성과급 및 우수연구자 상여금 연계, 경상경비 증가율* 및 업무추진비 등 차등 적용 ’26년~",reviewed,keep,,infrastructure_institutional,,,,,,통합평가 결과 환류 강화,"통합평가 결과를 성과급, 우수연구자 상여금, 경상경비 증가율 등에 연계해 평가 환류를 강화한다.",starter keep evaluation feedback action
PMD-DOC-POL-010-0057,policy_action,기관장 연임연계 폐지,ㅇ (기관장 연임연계 폐지) 기관평가 결과와 기관장 재선임 요건 간 연계를 폐지하고 연임 희망 시 차기 기관장 공모 참여를 통해 재선임 ’26년~ [ 통합평가 연계 인센티브 신설(안) ],ㅇ (기관장 연임연계 폐지) 기관평가 결과와 기관장 재선임 요건 간 연계를 폐지하고 연임 희망 시 차기 기관장 공모 참여를 통해 재선임 ’26년~,reviewed,keep,,infrastructure_institutional,,,,,,기관평가와 기관장 재선임 연계 폐지,기관평가 결과와 기관장 재선임 요건의 연계를 폐지하고 연임 희망 시 차기 기관장 공모를 통해 재선임하도록 한다.,starter keep governance incentive action
PMD-DOC-POL-010-0060,policy_action,우수 연구진 상여금,ㅇ (우수 연구진 상여금) 평가 결과에 따라 성과 기여도가 높은 우수 연구자 또는 연구팀 대상 파격적 상여금(가칭STAR* 상여금) 신설 ’26년~,ㅇ (우수 연구진 상여금) 평가 결과에 따라 성과 기여도가 높은 우수 연구자 또는 연구팀 대상 파격적 상여금(가칭STAR* 상여금) 신설 ’26년~,reviewed,keep,,talent,,,,,,우수 연구자·연구팀 상여금 신설,성과 기여도가 높은 우수 연구자와 연구팀을 대상으로 파격적 상여금을 신설한다.,starter keep talent reward action
PMD-DOC-POL-010-0063,policy_action,처우개선,ㅇ (처우개선) 출연(연) 구성원의 전반적인 처우 수준을 지속 개선 ’26년~,ㅇ (처우개선) 출연(연) 구성원의 전반적인 처우 수준을 지속 개선 ’26년~,reviewed,keep,,talent,,,,,,출연연 구성원 처우 지속 개선,출연연 구성원의 전반적 처우 수준을 지속적으로 개선한다.,starter keep treatment improvement action
PMD-DOC-POL-010-0065,policy_action,연구인력 특별채용 확대,ㅇ (연구인력 특별채용 확대) 박사후연구원 등 연구인력에 대한 수시 특별채용을 허용하여 우수 인력을 적재적소에 활용 ’26년~,ㅇ (연구인력 특별채용 확대) 박사후연구원 등 연구인력에 대한 수시 특별채용을 허용하여 우수 인력을 적재적소에 활용 ’26년~,reviewed,keep,,talent,,,,,,연구인력 특별채용 확대,박사후연구원 등 연구인력에 대한 수시 특별채용을 허용해 우수 인력을 적재적소에 활용한다.,starter keep special recruitment action
PMD-DOC-POL-010-0066,policy_action,블라인드채용 탄력적 운영,ㅇ (블라인드채용 탄력적 운영) 출연(연) 블라인드 채용제도가 합리적 ·탄력적으로 운영되도록 심사위원에게 채용서류 원문 제공 ’26년~,ㅇ (블라인드채용 탄력적 운영) 출연(연) 블라인드 채용제도가 합리적 ·탄력적으로 운영되도록 심사위원에게 채용서류 원문 제공 ’26년~,reviewed,keep,,talent,,,,,,블라인드채용 탄력 운영,심사위원에게 채용서류 원문을 제공해 블라인드채용 제도를 합리적이고 탄력적으로 운영한다.,starter keep hiring flexibility action
PMD-DOC-POL-010-0069,policy_action,연구행정 전문화,"ㅇ (연구행정 전문화) 연구직의 파트너로서 연구행정·지원직의 가치를 인정하여 전문직에 상응하는 직종, 처우 및 성장사다리 마련 ’26년~","ㅇ (연구행정 전문화) 연구직의 파트너로서 연구행정·지원직의 가치를 인정하여 전문직에 상응하는 직종, 처우 및 성장사다리 마련 ’26년~",reviewed,keep,,talent,,,,,,연구행정·지원직 전문화,"연구행정·지원직의 가치를 인정하고 전문직에 상응하는 직종, 처우, 성장사다리를 마련한다.",starter keep admin talent action
PMD-DOC-POL-010-0071,policy_action,전산인프라 통합 운영,ㅇ (전산인프라 통합 운영) 전산인프라 통합 운영으로 시설 운영비용 효율화 및 데이터 보안･인프라 안정성 등 필수 기능 강화 ’26년~,ㅇ (전산인프라 통합 운영) 전산인프라 통합 운영으로 시설 운영비용 효율화 및 데이터 보안･인프라 안정성 등 필수 기능 강화 ’26년~,reviewed,keep,,infrastructure_institutional,,,,,,전산인프라 통합 운영,전산인프라를 통합 운영해 시설 운영비를 효율화하고 데이터 보안과 인프라 안정성을 강화한다.,starter keep infra integration action
PMD-DOC-POL-010-0075,policy_action,운영체계,ㅇ (운영체계) 공공기관 지정해제(유보) 취지를 반영하여 조직·인사·예산 운영의 자율성 원칙 명시,ㅇ (운영체계) 공공기관 지정해제(유보) 취지를 반영하여 조직·인사·예산 운영의 자율성 원칙 명시,reviewed,keep,,infrastructure_institutional,,,,,,조직·인사·예산 자율 운영 원칙 명시,공공기관 지정해제 유보 취지를 반영해 조직·인사·예산 운영의 자율성 원칙을 명시한다.,starter keep autonomy principle action
PMD-DOC-POL-010-0076,policy_action,육성·지원,"ㅇ (육성·지원) 인력개발·우수인재 유치, 개방형 혁신 등 적극적 출연(연) 육성·지원을 위한 법적 기틀 마련","ㅇ (육성·지원) 인력개발·우수인재 유치, 개방형 혁신 등 적극적 출연(연) 육성·지원을 위한 법적 기틀 마련",reviewed,keep,,talent,,,,,,우수인재 유치와 개방형 혁신 지원 법적 기반 마련,"인력개발, 우수인재 유치, 개방형 혁신 등 적극적 출연연 육성·지원을 위한 법적 기반을 마련한다.",starter keep legal talent support action
PMD-DOC-POL-010-0077,policy_action,거버넌스,ㅇ (거버넌스) 과기정통부(정책방향 제시)-연구회(출연(연) 간 협력 지원)-출연(연)(임무·역할 수행) 간 유기적 협력체계 명확화,ㅇ (거버넌스) 과기정통부(정책방향 제시)-연구회(출연(연) 간 협력 지원)-출연(연)(임무·역할 수행) 간 유기적 협력체계 명확화,reviewed,keep,,infrastructure_institutional,,,,,,과기정통부-연구회-출연연 협력 거버넌스 명확화,"과기정통부, 연구회, 출연연 간 유기적 협력체계를 명확화한다.",starter keep governance clarity action
PMD-DOC-POL-010-0080,policy_action,연구회 기능 정비,"ㅇ (연구회 기능 정비) 법률에 명시된 기능과 책무 중심으로 연구회의 기능 보완*, 의결기구(이사회) - 집행기구(사무기구) 간 분리 추진 ’26년~","ㅇ (연구회 기능 정비) 법률에 명시된 기능과 책무 중심으로 연구회의 기능 보완*, 의결기구(이사회) - 집행기구(사무기구) 간 분리 추진 ’26년~",reviewed,keep,,infrastructure_institutional,,,,,,연구회 기능과 집행체계 정비,법률에 명시된 기능과 책무를 중심으로 연구회의 기능을 보완하고 의결기구와 집행기구를 분리한다.,starter keep nst function action
