document_id,title,include_status,source_format,source_file,run_status,evidence_units,tables,figures,notes
DOC-POL-001,123대 국정과제,missing,unknown,,not_runnable,,,,재구성 초안에는 있으나 현재 data 폴더 원문 미확보 | 원문 미확보
DOC-POL-002,AI-바이오 국가전략,include,hwpx,data/260312_12개 정책 문헌 자료/1_251218 (5호) 제2회 과기장관회의_AI 바이오 국가전략(안)_과기정통부_최종.hwpx,completed,240,94,62,1차 분석 범위
DOC-POL-003,제조AX 추진방향,include,hwpx,data/260312_12개 정책 문헌 자료/251122 (3호) 제1회 과학기술관계장관회의 안건_제조AX 추진방향(안)_산업부_인쇄.hwpx,completed,133,41,10,1차 분석 범위; HWPX 우선 사용
DOC-POL-004,과학기술xAI 국가전략,include,hwpx,data/260312_12개 정책 문헌 자료/251122 (4호) 제1회 과학기술관계장관회의 안건_과학기술xAI 국가전략(안)_과기정통부_인쇄.hwpx,completed,196,54,27,1차 분석 범위
DOC-POL-005,연구개발 생태계 혁신방안,include,hwpx,data/260312_12개 정책 문헌 자료/251122 (7호) 제1회 과학기술관계장관회의 안건_연구개발 생태계 혁신방안(안)_과기정통부_인쇄.hwpx,completed,477,83,127,1차 분석 범위
DOC-POL-006,초혁신경제 15대 프로젝트 추진계획,include,pdf,data/260312_12개 정책 문헌 자료/251216_(안건) 초혁신경제 15대 프로젝트 추진계획 IV.pdf,completed,1026,10,6,1차 분석 범위
DOC-POL-007,AI반도체 산업 도약 전략,include,hwpx,data/260312_12개 정책 문헌 자료/251218 (4호) 제2회 과기장관회의_AI반도체 산업 도약 전략(안)_과기정통부_최종.hwpx,completed,262,108,56,1차 분석 범위
DOC-POL-008,"민간투자연계, 팁스 R&D 확산방안",include,hwpx,"data/260312_12개 정책 문헌 자료/251218 (6호) 제2회 과기장관회의_민간투자연계, 팁스 R&D 확산방안(안)_중기부_최종.hwpx",completed,100,28,2,1차 분석 범위
DOC-POL-009,기초연구 생태계 육성 방안,include,hwpx,data/260312_12개 정책 문헌 자료/251218 (7호) 제2회 과기장관회의_기초연구 생태계 육성 방안(안)_과기정통부_최종.hwpx,completed,294,94,27,1차 분석 범위
DOC-POL-010,과학기술분야 출연(연) 정책방향,include,hwpx,data/260312_12개 정책 문헌 자료/251218 (8호) 제2회 과기장관회의_과학기술분야 출연(연) 정책방향(안)_과기정통부_최종.hwpx,completed,186,76,34,1차 분석 범위
DOC-POL-011,AI시대 대한민국 네트워크 전략,include,hwpx,data/260312_12개 정책 문헌 자료/251218 (9호) 제2회 과기장관회의_AI시대 대한민국 네트워크 전략(안)_과기정통부_최종.hwpx,completed,66,19,8,1차 분석 범위
DOC-POL-012,정부 AX사업 전주기 원스톱 지원방안,include,hwpx,data/260312_12개 정책 문헌 자료/260128 (3호) 제4회 과기장관회의 안건_정부 AX사업 전주기 원스톱 지원방안(안)_최종.hwpx,completed,99,44,3,1차 분석 범위
