document_id,title,source_format,run_status,paragraph_count,page_count,notes
DOC-REF-001,정책-항목 구성(안),pdf,completed,24,12,
DOC-REF-002,정책기술분야별 재구성(안),pdf,completed,1,1,
DOC-POL-001,123대 국정과제,pdf,completed,2179,195,
DOC-POL-002,AI-바이오 국가전략,hwpx,completed,239,3,
DOC-POL-003,제조AX 추진방향,hwpx,completed,132,2,
DOC-POL-004,과학기술xAI 국가전략,hwpx,completed,195,2,
DOC-POL-005,연구개발 생태계 혁신방안,hwpx,completed,485,3,
DOC-POL-006,초혁신경제 15대 프로젝트 추진계획,pdf,completed,496,38,
DOC-POL-007,AI반도체 산업 도약 전략,hwpx,completed,261,3,
DOC-POL-008,"민간투자연계, 팁스 R&D 확산방안",hwpx,completed,100,3,
DOC-POL-009,기초연구 생태계 육성 방안,hwpx,completed,292,4,
DOC-POL-010,과학기술분야 출연(연) 정책방향,hwpx,completed,185,3,
DOC-POL-011,AI시대 대한민국 네트워크 전략,hwpx,completed,65,3,
DOC-POL-012,정부 AX사업 전주기 원스톱 지원방안,hwpx,completed,98,3,
DOC-CTX-001,기술분야 개요 국방,pdf,completed,5,1,
DOC-CTX-002,기술분야 개요 사이버보안,pdf,completed,2,1,
DOC-CTX-003,기술분야 개요 소재,pdf,completed,3,1,
DOC-CTX-004,기술분야 개요 양자,pdf,completed,2,1,
DOC-CTX-005,기술분야 개요 에너지,pdf,completed,5,1,
DOC-CTX-006,기술분야 개요 우주항공,pdf,completed,3,1,
DOC-CTX-007,기술분야 개요 이차전지,pdf,completed,12,1,
DOC-CTX-008,기술분야 개요 차세대통신,pdf,completed,3,1,
DOC-CTX-009,기술분야 개요 첨단모빌리티,pdf,completed,15,1,
DOC-CTX-010,기술분야 개요 첨단바이오,pdf,completed,8,1,
DOC-CTX-011,기술분야 개요 해양,pdf,completed,4,1,
DOC-CTX-012,기술분야 개요 인공지능,pdf,completed,5,1,
DOC-CTX-013,기술분야 개요 첨단로봇제조,pdf,completed,3,1,
DOC-CTX-014,기술분야 개요 반도체디스플레이,pdf,completed,5,1,
